RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
80,15654700,Fallaci,523,France,Female,40,2,102967.41,1,1,0,128702.1,1
81,15670427,Chidi,662,Spain,Male,37,4,155187.3,1,1,0,48930.8,0
82,15643828,Teng,592,France,Male,29,7,0,2,1,1,91196.67,0
83,15784597,Lattimore,648,France,Male,26,9,162923.85,1,1,0,98368.24,0
84,15767722,Richardson,593,France,Female,39,0,117704.73,1,1,0,197933.5,0
85,15591724,Liu,560,France,Female,44,5,143244.97,1,1,0,98661.27,0
86,15689517,Hales,635,France,Male,27,3,127009.83,1,1,0,161909.95,0
87,15801817,Carpenter,688,France,Female,38,7,123544.21,1,1,1,157664.02,0
88,15683562,Allen,646,France,Male,35,6,84026.86,1,0,1,164255.69,0
89,15575623,Simpson,589,France,Female,31,10,110635.32,1,1,0,148218.86,0
90,15733491,McGregor,512,Germany,Female,40,8,153537.57,2,0,0,23101.13,0
91,15780038,Paterson,756,Spain,Male,38,6,119208.85,1,1,0,169763.89,1
92,15609510,Gregory,669,France,Male,45,7,149364.58,1,0,1,173454.07,0
93,15681697,Rueda,508,France,Male,31,8,72541.48,1,1,0,129803.08,0
94,15609545,Azubuike,548,France,Male,29,5,83442.98,1,0,1,177017.39,0
95,15645593,Trevisani,599,France,Female,41,2,91328.71,1,1,0,115724.78,0
96,15651103,Sal,762,Spain,Female,69,9,183744.98,1,1,1,196993.69,0
97,15709136,Adams,620,France,Male,28,8,0,2,1,1,199909.32,0
98,15745527,Burke,655,France,Male,37,5,93147,2,1,0,66214.13,0
99,15627665,Sung,614,France,Male,46,4,0,1,1,0,74379.57,1
100,15751158,Mashman,571,France,Female,42,4,108825.34,3,1,0,55558.51,1
101,15715638,Ch'ang,824,Germany,Male,77,3,27517.15,2,0,1,2746.41,0
102,15785980,Williford,588,Spain,Male,34,6,121132.26,2,1,0,86460.28,0
103,15687884,Alekseyeva,677,France,Male,37,3,88363.03,1,0,1,117946.3,0
104,15800620,Fitzgerald,691,France,Female,29,9,0,2,0,0,199635.93,0
105,15660316,Stephenson,420,Germany,Female,34,1,135549.9,1,0,0,149471.13,1
106,15609899,Obiora,548,Spain,Male,37,4,0,1,1,0,121763.68,0
107,15660200,Mai,551,France,Male,31,1,0,2,1,1,185105.44,0
108,15738088,Parkin,634,Spain,Male,63,10,0,2,1,0,30772.86,1
109,15618936,MacDonald,688,France,Female,51,5,0,1,1,0,91624.11,1
110,15694253,Palerma,686,France,Female,41,7,152105.57,2,0,1,132374.41,0
111,15778515,Wu,748,France,Male,40,3,95297.11,1,0,0,171515.84,0
112,15577107,Milne,657,Spain,Female,22,6,0,3,0,1,168412.07,1
113,15601351,Moroney,735,France,Male,43,9,127806.91,1,1,1,73069.59,0
114,15810390,Amadi,718,France,Female,41,1,0,2,0,1,27509.52,1
115,15747174,Hao,526,Germany,Male,58,9,190298.89,2,1,1,191263.76,0
116,15663808,Ifesinachi,666,Germany,Female,59,8,152614.51,2,1,1,188782.3,0
117,15742613,Warner,773,Germany,Female,42,8,152324.66,2,1,0,171733.22,0
118,15758813,Campbell,350,Germany,Male,39,0,109733.2,2,0,0,123602.11,1
119,15613102,Ogochukwu,670,France,Female,31,2,57530.06,1,1,1,181893.31,1
120,15640464,Parkes,605,France,Male,41,5,91612.91,1,1,1,28427.84,0
121,15679760,Slattery,721,France,Male,46,1,115764.32,2,0,0,102950.79,0
122,15704014,K'ung,738,Germany,Male,37,7,140950.92,2,1,0,195333.98,0
123,15794360,Hao,592,Germany,Female,70,5,71816.74,2,1,0,105096.82,1
124,15734948,Igwebuike,601,Spain,Male,24,7,0,2,0,0,144660.42,0
125,15694453,Walker,631,Germany,Male,37,9,131519.49,2,1,1,51752.18,0
126,15646196,Yeh,850,Spain,Female,36,2,155180.56,2,0,0,169415.54,0
127,15653784,Solomina,627,France,Male,37,2,125190.86,1,0,1,84584.69,0
128,15731522,Ts'ui,771,Spain,Female,67,8,0,2,1,1,51219.8,0
129,15738605,Fischer,634,Germany,Female,46,5,123642.36,1,1,1,49725.16,1
130,15716000,Hs?eh,638,Spain,Male,48,2,0,2,1,1,7919.08,0
131,15699446,Hobbs,816,Germany,Female,25,2,150355.35,2,1,1,35770.84,0
132,15615456,Aleksandrova,680,France,Female,37,10,123806.28,1,1,0,81776.84,1
133,15773789,Pavlova,594,Spain,Female,38,7,96858.35,1,1,0,77511.45,0
134,15754999,Ch'eng,570,France,Female,33,8,0,1,1,1,124641.42,0
135,15653773,Shaw,457,France,Female,38,7,164496.99,1,1,1,163327.27,0
136,15704466,Udokamma,692,France,Female,34,7,0,2,1,0,195074.62,0
137,15656322,Sandover,571,Germany,Male,33,3,71843.15,1,1,0,26772.04,0
138,15764253,Ramsey,742,France,Male,32,6,160485.16,1,1,0,29023.03,0
139,15730433,Nakayama,580,Germany,Female,38,1,128218.47,1,1,0,125953.83,1
140,15727829,McIntyre,567,France,Male,42,2,0,2,1,1,167984.61,0
141,15599591,Martin,600,Germany,Female,39,7,88477.36,2,1,0,58632.37,0
142,15568449,Fu,661,Spain,Male,38,7,143006.7,1,1,1,15650.89,0
143,15614215,Oguejiofor,717,France,Male,53,6,0,2,0,1,97614.87,0
144,15639549,Jen,718,Germany,Female,33,4,70541.06,1,0,0,88592.8,0
145,15706223,Barnes,715,Spain,Male,38,2,96798.79,2,1,1,4554.67,0
146,15779247,Pai,683,Spain,Female,24,8,98567.1,1,1,0,187987.01,0
147,15635893,T'ien,693,France,Female,28,8,0,2,1,1,158545.25,0
148,15670823,Hsueh,651,Germany,Female,42,1,116646.76,1,1,0,44731.8,1
149,15727408,Koo,523,Germany,Male,27,8,61688.61,2,1,0,147059.16,0
150,15591357,Cowger,765,France,Male,51,3,123372.3,1,1,1,115429.32,0
151,15776128,Hs?,716,France,Female,44,6,155114.9,1,0,0,133871.83,0
152,15586976,Alexeeva,566,France,Female,42,6,0,1,1,0,180702.12,1
153,15658982,Napolitani,650,Germany,Female,28,5,122034.4,3,0,1,146663.43,1
154,15576774,Stevenson,729,France,Female,38,7,0,2,0,0,45779.9,0
155,15797276,Sturt,662,Spain,Female,41,4,90350.77,1,1,0,75884.65,1
156,15602456,Afanasyev,850,Germany,Female,47,4,99219.47,2,1,1,122141.13,0
157,15586821,Bellew,727,France,Male,28,5,0,2,0,1,19653.08,0
158,15618566,Jamieson,572,France,Female,38,7,0,2,1,1,133122.62,0
159,15757607,Matveyeva,623,France,Male,45,0,0,1,1,0,196533.72,1
160,15688395,Lane,582,France,Male,29,4,0,2,0,0,156153.27,0
161,15605742,Tuan,737,France,Male,43,0,80090.93,1,1,0,39920,1
162,15784323,Gallo,449,France,Female,21,7,0,2,0,0,175743.92,0
163,15726103,Tsou,689,Germany,Female,55,1,76296.81,1,1,0,42364.75,1
164,15780056,Reid,660,Spain,Male,33,4,0,1,1,0,29664.45,0
165,15646161,Steinhoff,673,Spain,Female,37,8,0,2,1,1,183318.79,0
166,15714877,MacDevitt,662,France,Female,29,10,0,2,1,0,137508.31,0
167,15756538,Osonduagwuike,654,France,Female,37,5,0,1,0,1,71492.28,0
168,15566563,Duigan,777,France,Female,30,4,137851.31,1,1,0,5008.23,1
169,15747960,Eluemuno,733,France,Male,33,3,0,1,1,1,7666.73,0
170,15782360,Rogers,743,Germany,Male,65,2,131935.51,1,1,1,96399.67,1
171,15687001,Chiemenam,596,Germany,Male,54,1,123544,1,1,1,120314.75,1
172,15706637,Chang,718,Spain,Male,40,9,0,2,0,0,121537.91,0
173,15628992,Esposito,850,Germany,Male,32,2,128647.98,2,0,0,54416.18,0
174,15583764,Wilkes,791,Germany,Male,31,1,130240.33,1,0,0,96546.55,0
175,15776223,Davide,597,France,Female,42,4,64740.12,1,1,1,106841.12,0
176,15750243,Genovese,830,Spain,Male,40,4,0,2,0,1,81622.52,0
177,15778696,Ikemefuna,684,Spain,Female,36,5,174180.39,1,1,0,119830.08,0
178,15631868,Robertson,744,Spain,Male,36,2,153804.44,1,1,1,87213.33,0
179,15568032,Moore,757,Germany,Male,31,1,127320.36,3,1,0,163170.32,0
180,15745417,Knipe,707,France,Male,58,6,89685.92,1,0,1,126471.13,0
181,15648064,Kennedy,649,France,Male,33,2,0,2,1,0,2010.98,0
182,15657868,Serra,850,Germany,Male,40,6,94607.08,1,1,0,36690.49,0
183,15588670,Despeissis,705,Spain,Female,40,5,203715.15,1,1,0,179978.68,1
184,15665790,Rowntree,538,Germany,Male,39,7,108055.1,2,1,0,27231.26,0
185,15714634,Nebechi,837,France,Male,26,4,89900.24,2,1,0,175477.03,0
186,15642934,Mason,669,Germany,Female,35,4,108269.2,2,1,0,174969.92,0
187,15624592,Tan,603,France,Male,31,8,0,2,1,1,169915.02,0
188,15795246,Kaeppel,628,Germany,Female,51,9,155903.82,2,1,1,71159.84,0
189,15665238,Beneventi,745,Germany,Male,36,8,145071.24,1,0,0,6078.46,0
190,15769312,Forbes,557,Spain,Male,48,10,0,2,1,1,185094.48,0
191,15594902,Lombardi,518,France,Male,38,3,90957.81,1,0,1,162304.59,0
192,15690546,Riley,618,France,Female,42,2,0,4,0,0,111097.39,1
193,15605673,Liang,716,Spain,Female,29,8,0,2,0,0,78616.92,0
194,15688963,Ingram,731,France,Female,52,10,0,1,1,1,24998.75,1
195,15611029,Hsiung,488,Germany,Female,33,4,140002.35,1,1,0,123613.81,0
196,15791501,Carroll,590,France,Male,43,8,0,2,1,1,143628.31,0
197,15624437,Johnson,825,Spain,Female,32,1,0,2,1,1,42935.15,0
198,15612350,Taylor,691,France,Female,31,5,40915.55,1,1,0,126213.84,1
199,15637646,Rowley,756,France,Male,31,10,122647.32,1,0,0,61666.87,0
200,15755649,Winter-Irving,584,Germany,Male,47,7,130538.77,1,1,0,92915.84,0
201,15599268,Yobachi,584,Spain,Male,32,5,0,2,1,0,10956.82,0
202,15646302,Shao,705,France,Female,24,7,100169.51,1,1,0,121408.55,0
203,15605375,Tseng,651,France,Male,35,2,86911.8,1,1,0,174094.24,0
204,15746326,Fields,591,France,Male,43,3,0,2,0,1,198926.36,0
205,15646764,Lorenzo,617,Germany,Female,58,3,119024.75,2,1,0,35199.24,1
206,15655298,Lewis,654,Spain,Female,54,5,0,2,0,1,47139.06,0
207,15593295,Greathouse,548,France,Male,57,6,76165.65,1,1,1,133537.53,0
208,15700627,Y?,637,Germany,Female,46,2,143500.82,1,1,0,166996.46,1
209,15660636,Carpenter,540,Spain,Female,40,8,0,2,1,0,3560,0
210,15769191,Lipton,509,France,Male,55,8,132387.91,2,1,1,170360.11,0
211,15728917,Gill,598,France,Male,48,6,120682.53,1,1,0,30635.52,1
212,15600821,Hardy,721,France,Male,69,2,108424.19,1,1,1,178418.35,0
213,15680920,Marchesi,695,France,Male,46,7,49512.55,1,1,0,133007.34,0
214,15799910,Martin,793,France,Male,32,2,0,2,1,0,193817.63,1
215,15801169,Yegorova,764,Germany,Female,39,9,138341.51,1,1,0,50072.94,1
216,15589869,Tang,437,France,Male,49,9,111634.29,2,0,1,166440.32,0
217,15809826,Craigie,728,France,Female,46,2,109705.52,1,1,0,20276.87,1
218,15687079,King,646,Spain,Male,69,10,115462.44,1,1,0,40421.87,0
219,15641640,Uspenskaya,545,Spain,Female,33,7,173331.52,1,1,0,150452.88,0
220,15614893,Meng,689,Spain,Male,38,2,0,1,1,1,82709.8,0
221,15750874,Onyemere,676,France,Male,31,3,78990.15,1,1,1,124777.14,0
222,15637857,Woolacott,616,France,Female,31,8,0,1,0,1,76456.17,0
223,15723685,Ekechukwu,601,Germany,Female,26,7,105514.69,2,1,0,50070.59,0
224,15804853,McVey,781,France,Female,48,0,57098.96,1,1,0,85644.06,1
225,15648735,Cashin,718,France,Male,37,8,0,2,1,1,142.81,0
226,15753362,Evdokimov,748,Spain,Male,60,3,0,2,1,1,78194.37,0
227,15574142,Chuang,458,Germany,Female,28,2,171932.26,2,1,1,9578.24,0
228,15621093,Teng,681,Germany,Male,31,4,97338.19,2,0,0,48226.76,0
229,15692819,Toscani,665,Germany,Male,32,1,132178.67,1,0,0,11865.76,0
230,15694821,Hardy,765,Germany,Male,43,4,148962.76,1,0,1,173878.87,1
231,15815534,Guidry,505,Spain,Male,37,0,134006.39,1,1,1,93736.69,0
232,15797475,Brennan,720,France,Male,44,3,86102.27,1,1,0,180134.88,1
233,15687218,West,674,France,Female,27,4,79144.34,1,0,1,50743.83,0
234,15713673,T'ien,494,France,Female,33,1,137853,1,0,1,90273.85,0
235,15730738,Chiang,786,Spain,Male,31,9,0,2,1,1,18210.36,0
236,15669253,Gibson,754,Spain,Male,39,7,157691.98,2,1,0,133600.89,1
237,15691396,Ko,405,Germany,Male,31,5,133299.67,2,1,1,72950.14,0
238,15635597,Echezonachukwu,644,France,Male,33,8,0,2,1,1,155294.17,0
239,15797910,Zetticci,775,Germany,Male,51,2,123783.25,1,1,1,134901.57,0
240,15614137,MacDonald,685,France,Female,40,7,0,2,1,0,103898.59,0
241,15591360,Udinesi,642,France,Female,33,4,84607.34,2,0,1,60059.47,0
242,15723864,Lucas,828,Spain,Male,47,1,109876.82,2,1,0,83611.45,1
243,15740147,Cremonesi,725,France,Female,44,10,0,1,0,1,93777.61,0
244,15639077,Marchesi,622,France,Female,30,2,158584.82,3,1,0,142342.55,1
245,15779743,Onwuamaeze,633,France,Female,44,7,0,2,1,0,29761.29,0
246,15601627,Siciliano,587,France,Male,33,8,148163.57,1,0,0,122925.4,0
247,15611669,Nyhan,623,Germany,Male,50,7,126608.37,1,0,1,645.61,1
248,15686780,Rogova,645,Spain,Female,55,1,133676.65,1,0,1,17095.49,0
249,15626684,Huang,547,France,Female,38,5,167539.97,1,0,1,159207.34,0
250,15768455,Young,679,France,Male,60,8,0,2,1,1,51380.9,0
251,15589475,Azikiwe,591,Spain,Female,39,3,0,3,1,0,140469.38,1
252,15701524,Ting,709,France,Male,36,0,0,2,1,0,46811.77,0
253,15759480,H?,644,France,Female,40,10,139180.97,1,1,1,19959.67,0
254,15647572,Greece,504,Spain,Male,34,0,54980.81,1,1,1,136909.88,0
255,15785705,Thomson,705,Germany,Female,44,10,106731.58,1,1,0,137419.87,1
256,15780088,Porter,607,Spain,Male,34,9,132439.99,1,1,0,177747.72,0
257,15726589,Matveyev,540,Germany,Male,39,1,82531.11,1,1,0,114092.52,0
258,15616666,Artemova,646,Germany,Female,52,6,111739.4,2,0,1,68367.18,0
259,15767781,Godfrey,648,France,Male,38,10,82697.28,1,1,0,74846.67,0
260,15683677,Schiavone,769,Spain,Male,39,9,0,1,1,1,47722.79,0
261,15578908,Todd,725,Spain,Female,32,0,0,2,1,1,138525.19,0
262,15786852,Nwachukwu,565,Germany,Female,38,2,158651.29,2,1,1,179445.28,0
263,15764708,Chiabuotu,572,France,Male,30,6,117696.67,1,1,0,100843.82,0
264,15753215,Yashina,651,Spain,Female,36,8,0,2,1,0,91652.43,0
265,15619514,Bull,507,Germany,Male,40,3,120105.43,1,1,0,92075.01,1
266,15701412,T'ien,739,France,Male,40,4,0,2,0,0,173321.65,0
267,15737133,P'eng,706,Spain,Male,68,4,114386.85,1,1,1,28601.68,0
268,15567860,Burrows,581,Spain,Female,44,7,189318.16,2,1,0,45026.23,1
269,15608595,Lo Duca,748,France,Female,39,3,157371.54,1,0,1,97734.3,0
270,15803121,Chia,847,France,Male,51,5,97565.74,1,0,0,144184.06,1
271,15654379,Onwuatuegwu,588,Spain,Male,59,4,0,2,1,1,27435.41,0
272,15794941,Chibueze,647,Germany,Female,41,1,85906.65,3,1,0,189159.97,0
273,15725355,Morey,439,France,Female,43,8,0,1,0,1,104889.3,0
274,15701175,Bruno,493,France,Female,33,8,90791.69,1,1,1,59659.53,0
275,15617206,Trentino,431,Germany,Male,42,8,120822.86,2,1,0,126153.24,0
276,15591047,Ma,519,Spain,Female,47,6,157296.02,2,0,0,147278.43,1
277,15592461,Jackson,603,Germany,Male,26,4,109166.37,1,1,1,92840.67,0
278,15572374,Hopetoun,733,Spain,Male,36,1,0,2,0,1,108377.82,0
279,15697702,Lord,730,Spain,Male,29,2,0,2,1,0,14174.09,0
280,15771573,Okagbue,637,Germany,Female,39,9,137843.8,1,1,1,117622.8,1
281,15687828,Gorshkov,644,Spain,Female,31,5,86006.3,1,1,1,73922.95,0
282,15618661,Chidubem,535,France,Male,30,6,103804.97,1,1,1,125710.53,0
283,15716926,Macleod,807,France,Male,33,10,101952.97,2,1,0,178153.65,0
284,15711742,Mason,708,France,Female,34,4,0,1,1,1,62868.33,0
285,15806389,Walton,549,Germany,Female,55,1,137592.31,2,0,1,116548.02,1
286,15772892,Robertson,699,France,Female,49,2,0,1,0,0,105760.01,0
287,15588080,Giles,675,France,Male,54,6,0,1,1,0,110273.84,1
288,15774250,Gallo,532,France,Male,42,1,159024.71,1,1,0,100982.93,1
289,15815645,Akhtar,481,France,Male,37,8,152303.66,2,1,1,175082.2,0
290,15584091,Pitts,742,Germany,Female,36,2,129748.54,2,0,0,47271.61,1
291,15796993,McCollum,741,France,Male,52,1,171236.3,2,0,0,21834.4,1
292,15746199,Eluemuno,558,France,Female,41,6,0,1,1,1,143585.29,1
293,15677184,Cremonesi,767,France,Female,35,6,115576.44,1,0,1,27922.45,0
294,15684440,Monaldo,548,Germany,Male,32,2,98986.28,1,1,1,55867.38,0
295,15583026,Welch,535,France,Female,38,0,135919.33,1,1,0,80425.65,0
296,15671969,Pruneda,649,Spain,Male,36,8,0,2,1,0,161668.15,0
297,15642002,Hayward,554,France,Female,35,6,117707.18,2,0,0,95277.15,1
298,15626457,Zetticci,671,France,Male,31,0,116234.61,1,1,0,172096.08,0
299,15709142,Sagese,608,Germany,Female,30,2,91057.37,2,1,0,132973.17,0
300,15683124,Evans,713,France,Male,53,6,115029.4,1,0,0,191521.32,1
301,15683930,Ch'iu,593,Germany,Female,32,9,134096.53,2,1,0,53931.05,1
302,15661591,Panicucci,413,Germany,Male,39,1,130969.77,2,1,1,158891.79,0
303,15715079,Bold,465,France,Male,41,9,117221.15,1,1,0,168280.95,0
304,15678206,Yeh,464,France,Male,46,6,161798.53,1,1,0,182944.47,0
305,15716608,Walker,651,Spain,Male,38,2,0,3,1,0,67029.82,1
306,15731815,Nepean,529,Spain,Male,63,4,96134.11,3,1,0,108732.96,1
307,15782144,Gilroy,522,France,Female,34,3,0,2,1,1,3894.34,0
308,15768006,Wu,729,France,Male,34,3,152303.8,1,1,0,12128.69,0
309,15658169,Cook,778,Spain,Female,47,6,127299.34,2,1,0,124694.99,0
310,15789714,Semmens,691,Spain,Male,21,3,103000.94,1,1,1,104648.58,0
311,15801265,Tang,689,Spain,Female,45,0,57784.22,1,1,0,197804,1
312,15701354,Boni,699,France,Female,39,1,0,2,0,0,93826.63,0
313,15571689,Kelechi,740,France,Female,37,5,0,2,1,1,27528.4,0
314,15689526,Shih,542,Germany,Female,35,9,127543.11,2,1,0,468.94,1
315,15603111,Muir,850,Spain,Male,71,10,69608.14,1,1,0,97893.4,1
316,15792489,Polyakova,622,Spain,Male,42,9,0,2,1,0,119127.06,0
317,15766137,Muir,497,France,Male,34,2,0,2,1,1,83087.13,0
318,15803886,Barber,629,Spain,Male,31,6,132876.55,1,1,1,130862.11,0
319,15665783,Ts'ui,565,France,Male,49,7,0,2,1,1,89609.26,0
320,15602551,Johnson,667,Spain,Male,39,9,0,2,1,0,68873.8,0
321,15625929,Trevisan,762,France,Female,44,7,159316.64,1,0,0,24780.13,0
322,15600357,Findlay,495,France,Female,40,1,140197.71,2,1,0,150720.39,0
323,15713770,Shih,586,Spain,Male,41,3,63873.56,1,1,0,83753.64,0
324,15800268,Costa,825,Germany,Male,37,6,118050.79,1,0,1,52301.15,0
325,15700801,Eipper,850,Germany,Male,42,6,84445.68,3,0,1,60021.34,1
326,15667289,Henderson,719,Spain,Male,50,2,0,2,0,0,10772.13,0
327,15774328,Boni,606,Germany,Male,40,1,144757.97,2,1,1,166656.18,0
328,15659475,Chung,597,France,Female,33,6,135703.59,2,0,0,74850.84,0
329,15726153,Fanucci,622,France,Male,31,5,106260.67,1,1,1,2578.43,0
330,15596379,Wallace,743,Germany,Male,39,3,119695.75,1,0,1,26136.13,0
331,15675791,Williams,610,France,Male,36,4,129440.3,2,1,0,102638.35,0
332,15786680,Bianchi,805,Spain,Male,37,5,0,2,1,0,21928.81,0
333,15688264,Nkemdilim,629,France,Female,43,0,0,2,1,1,41263.69,0
334,15762238,Fraser,671,Germany,Female,44,0,84745.03,2,0,1,34673.98,0
335,15738219,Nash,632,France,Female,36,7,0,2,1,1,52526.65,0
336,15812893,Costa,629,France,Female,39,10,0,2,1,1,43174.49,1
337,15739068,Nwoye,638,Germany,Male,25,4,148045.45,2,1,1,114722.42,0
338,15656726,Ch'ien,771,France,Male,32,5,62321.62,1,1,1,40920.59,0
339,15645600,Obidimkpa,739,Spain,Female,27,8,98926.4,1,1,1,106969.98,0
340,15704746,Inman,699,Spain,Male,35,2,167455.66,2,1,1,55324.49,0
341,15570601,Cheng,785,France,Female,47,9,122031.55,1,1,1,33823.5,1
342,15665416,Ferri,779,France,Male,62,10,119096.55,1,0,1,116977.89,0
343,15595071,Ramos,696,France,Male,22,9,149777,1,1,1,198032.93,0
